Month,Year,Max,Avg,Min
Jul,2017,54,49.4,46
Aug,2017,55,53.2,50
Sep,2017,57,52.6,50
Oct,2017,50,47.4,45
Nov,2017,43,38.5,36
Dec,2017,43,40.4,39
Jan,2018,27,22.9,18
Feb,2018,37,29,23
Mar,2018,37,35.5,30
Apr,2018,41,37.9,36
May,2018,41,36,30
Jun,2018,46,44.4,43
Jul,2018,54,48.1,46
Aug,2018,55,51.1,48
Sep,2018,48,46.2,43
Oct,2018,46,42.3,37
Nov,2018,37,32.9,28
Dec,2018,36,32.8,30
Jan,2019,43,30.4,21
Feb,2019,23,20.3,14
Mar,2019,46,41.8,37
Apr,2019,34,30,28
May,2019,55,48.5,45
Jun,2019,54,47.6,43
Jul,2019,54,49.5,46
Aug,2019,59,56,52
Sep,2019,50,45.7,37
Oct,2019,48,43.5,36
Nov,2019,43,36.5,30
Dec,2019,45,39.3,36
Jan,2020,41,35.3,30
Feb,2020,28,23.8,21
Mar,2020,39,36.5,36
Apr,2020,37,30.8,25
May,2020,45,42.2,39
Jun,2020,52,47.5,41
Jul,2020,54,50.5,46
Aug,2020,59,55.2,52
Sep,2020,54,52.2,48
Oct,2020,46,40.3,32
Nov,2020,41,37.5,32
Dec,2020,46,40.3,36
Jan,2021,37,31.4,25
Feb,2021,34,27.8,25
Mar,2021,39,37.6,36
Apr,2021,41,39.9,39
May,2021,46,38.5,30
Jun,2021,50,46.5,43
Jul,2021,55,52.9,52
Aug,2021,55,54.5,52
Sep,2021,57,55,54
Oct,2021,50,45.2,41
Nov,2021,37,35.8,34
Dec,2021,30,25,18
Jan,2022,37,30.7,25
Feb,2022,32,29.7,28
Mar,2022,36,33.6,30
Apr,2022,46,40.5,34
May,2022,45,43.5,39
Jun,2022,52,50.5,48
Jul,2022,57,53.3,50
